scorer,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000
individuals,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
33,338.543,137.327,1.0,350.379,134.424,1.0,379.849,133.778,1.0,441.389,164.209,1.0,430.244,161.798,1.0,406.185,175.337,1.0
34,338.542,137.329,1.0,350.378,134.42,1.0,379.847,133.773,1.0,441.386,164.198,1.0,430.239,161.801,1.0,406.187,175.341,1.0
35,338.626,137.489,1.0,350.477,134.347,1.0,379.888,133.711,1.0,441.18,163.502,1.0,430.584,161.719,1.0,406.332,175.345,1.0
36,338.428,137.206,1.0,350.05,134.799,1.0,379.84,133.771,1.0,441.261,163.005,1.0,430.802,161.374,1.0,406.309,175.643,1.0
37,338.547,136.927,1.0,350.427,134.514,1.0,379.995,133.544,1.0,440.87,161.995,1.0,430.917,161.058,1.0,406.125,175.85,1.0
38,338.189,136.827,1.0,350.595,134.556,1.0,380.209,133.485,1.0,441.371,161.786,1.0,431.022,160.858,1.0,405.991,175.833,1.0
39,338.619,136.564,1.0,350.427,134.502,1.0,380.482,133.557,1.0,441.052,162.511,1.0,430.642,160.235,1.0,406.004,175.944,1.0
40,338.676,136.528,1.0,350.498,134.494,1.0,380.458,133.502,1.0,441.05,162.502,1.0,430.642,160.237,1.0,406.003,175.94,1.0
41,338.183,136.52,1.0,350.952,134.212,1.0,380.408,133.144,1.0,440.678,162.378,1.0,430.65,160.568,1.0,409.539,173.149,1.0
42,338.434,136.615,1.0,351.118,134.089,1.0,380.66,133.32,1.0,440.732,162.057,1.0,430.474,161.361,1.0,409.769,173.045,1.0
43,338.553,136.725,1.0,351.144,134.258,1.0,380.711,133.331,1.0,440.59,162.648,1.0,430.356,161.448,1.0,409.718,173.11,1.0
44,338.757,136.537,1.0,351.19,133.981,1.0,380.506,133.278,1.0,440.807,162.508,1.0,430.552,161.989,1.0,409.641,173.109,1.0
45,338.631,136.432,1.0,351.079,133.978,1.0,380.303,133.171,1.0,440.514,162.987,1.0,430.04,162.18,1.0,409.874,173.256,1.0
46,338.632,136.431,1.0,351.08,133.975,1.0,380.301,133.161,1.0,440.52,162.974,1.0,430.045,162.179,1.0,409.878,173.256,1.0
47,338.28,136.438,1.0,350.857,134.059,1.0,380.063,133.08,1.0,440.269,162.344,1.0,430.478,161.389,1.0,409.627,173.234,1.0
48,338.024,137.069,1.0,350.365,134.171,1.0,379.872,133.405,1.0,440.131,161.757,1.0,430.944,160.571,1.0,409.438,173.248,1.0
49,338.216,137.319,1.0,351.043,134.208,1.0,380.129,133.385,1.0,439.172,161.189,1.0,430.512,160.213,1.0,406.005,176.31,1.0
50,340.682,134.552,1.0,351.741,134.312,1.0,380.358,133.184,1.0,438.355,160.255,1.0,430.885,159.443,1.0,406.208,175.792,1.0
