scorer,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000
individuals,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
441,339.377,134.11,1.0,351.461,132.48,1.0,380.497,134.289,1.0,436.082,150.009,1.0,426.165,156.571,1.0,410.9,175.294,1.0
442,339.433,134.128,1.0,351.464,132.511,1.0,380.487,134.291,1.0,436.08,150.011,1.0,426.192,156.605,1.0,410.902,175.294,1.0
443,339.453,133.943,1.0,351.057,132.711,1.0,380.624,134.256,1.0,436.121,150.446,1.0,426.601,156.771,1.0,410.812,175.134,1.0
444,339.125,134.391,1.0,351.779,132.264,1.0,380.334,134.382,1.0,436.399,150.788,1.0,426.705,156.913,1.0,410.893,175.129,1.0
445,435.838,151.224,1.0,427.223,157.425,1.0,410.815,175.111,1.0,339.164,134.328,1.0,352.159,132.389,1.0,380.383,134.155,1.0
446,339.577,134.481,1.0,350.69,132.871,1.0,380.049,134.348,1.0,436.594,151.084,1.0,427.92,157.59,1.0,410.603,174.979,1.0
447,339.313,135.465,1.0,352.07,132.623,1.0,380.465,134.209,1.0,436.55,151.88,1.0,428.196,158.213,1.0,410.483,174.845,1.0
448,339.311,135.461,1.0,352.069,132.621,1.0,380.466,134.208,1.0,436.551,151.894,1.0,428.194,158.213,1.0,410.486,174.845,1.0
449,338.748,134.671,1.0,350.791,132.979,1.0,380.46,134.378,1.0,436.09,152.46,1.0,428.155,158.752,1.0,410.384,174.768,1.0
450,338.985,135.243,1.0,350.543,133.575,1.0,379.978,134.695,1.0,435.261,153.072,1.0,428.592,159.282,1.0,410.188,174.713,1.0
451,338.933,136.102,1.0,350.925,133.338,1.0,380.282,134.756,1.0,435.627,152.63,1.0,428.459,159.287,1.0,410.13,174.887,1.0
452,338.944,136.367,1.0,351.481,133.478,1.0,380.378,134.741,1.0,435.815,152.616,1.0,428.251,159.263,1.0,410.05,175.047,1.0
453,436.123,152.845,1.0,428.458,158.814,1.0,410.147,175.108,1.0,338.178,136.804,1.0,351.634,133.781,1.0,380.23,134.442,1.0
454,436.129,152.831,1.0,428.462,158.827,1.0,410.151,175.114,1.0,338.179,136.798,1.0,351.63,133.785,1.0,380.231,134.437,1.0
455,338.371,136.786,1.0,350.899,134.075,1.0,380.329,134.266,1.0,436.19,153.013,1.0,428.236,158.733,1.0,410.28,175.063,1.0
456,340.709,134.959,1.0,351.021,133.64,1.0,380.245,133.964,1.0,436.547,153.169,1.0,428.533,158.975,1.0,410.508,174.794,1.0
457,340.737,134.938,1.0,350.482,133.575,1.0,380.095,133.822,1.0,436.948,152.275,1.0,428.567,159.622,1.0,410.164,174.745,1.0
458,340.718,134.823,1.0,350.331,133.697,1.0,380.025,134.075,1.0,436.094,152.713,1.0,428.279,160.233,1.0,410.442,174.976,1.0
459,338.806,136.927,1.0,350.769,133.628,1.0,380.02,134.144,1.0,436.164,152.987,1.0,428.501,160.323,1.0,410.233,174.914,1.0
460,338.675,136.953,1.0,350.82,133.639,1.0,379.977,134.17,1.0,436.172,152.998,1.0,428.503,160.313,1.0,410.233,174.926,1.0
461,436.814,154.385,1.0,428.604,160.06,1.0,410.099,174.897,1.0,338.91,136.823,1.0,352.283,133.104,1.0,379.918,134.495,1.0
462,436.672,153.4,1.0,428.49,159.896,1.0,410.406,175.076,1.0,339.021,136.434,1.0,353.089,135.603,1.0,380.035,134.402,1.0
463,436.165,152.982,1.0,428.653,160.257,1.0,410.571,175.339,1.0,338.86,136.28,1.0,352.314,135.742,1.0,380.351,134.098,1.0
464,436.374,152.29,1.0,428.577,159.443,1.0,410.687,175.314,1.0,338.896,135.707,1.0,352.308,135.538,1.0,380.445,133.689,1.0
465,436.832,152.249,1.0,428.279,158.988,1.0,410.628,175.103,1.0,339.023,135.65,1.0,352.546,135.446,1.0,380.742,133.829,1.0
466,436.832,152.258,1.0,428.29,158.983,1.0,410.626,175.112,1.0,339.021,135.649,1.0,352.552,135.449,1.0,380.747,133.824,1.0
467,339.268,135.159,1.0,352.097,135.126,1.0,380.529,133.807,1.0,436.385,152.246,1.0,428.446,158.991,1.0,410.693,175.136,1.0
468,339.636,134.565,1.0,352.606,132.146,1.0,380.331,134.291,1.0,436.221,152.048,1.0,428.413,159.176,1.0,410.808,174.926,1.0
469,340.184,134.207,1.0,352.958,131.849,1.0,380.534,134.216,1.0,436.748,154.43,1.0,428.405,158.961,1.0,410.585,174.988,1.0
470,340.346,134.042,1.0,352.563,134.057,1.0,380.87,134.266,1.0,436.101,154.365,1.0,428.19,159.236,1.0,410.747,174.976,1.0
471,339.974,134.187,1.0,352.94,131.759,1.0,380.653,134.156,1.0,436.168,154.183,1.0,428.323,158.968,1.0,410.773,174.812,1.0
472,339.984,134.172,1.0,352.979,131.773,1.0,380.663,134.146,1.0,436.168,154.185,1.0,428.323,158.966,1.0,410.764,174.803,1.0
473,339.588,133.968,1.0,352.424,132.021,1.0,380.077,133.879,1.0,436.928,152.107,1.0,428.556,159.217,1.0,410.733,174.814,1.0
474,437.236,154.854,1.0,428.502,158.948,1.0,410.594,174.745,1.0,339.352,133.838,1.0,352.69,132.172,1.0,380.259,133.932,1.0
475,339.407,133.787,1.0,351.946,132.122,1.0,380.031,134.165,1.0,437.234,152.821,1.0,428.867,159.492,1.0,410.128,174.614,1.0
476,436.88,153.707,1.0,428.475,160.126,1.0,410.307,174.364,1.0,339.786,133.66,1.0,353.187,131.953,1.0,380.335,134.095,1.0
477,340.124,133.245,1.0,351.305,134.346,1.0,380.48,134.773,1.0,436.988,153.716,1.0,428.539,159.645,1.0,410.69,174.297,1.0
478,340.125,133.235,1.0,351.308,134.34,1.0,380.478,134.776,1.0,436.981,153.712,1.0,428.545,159.638,1.0,410.692,174.301,1.0
479,340.052,133.106,1.0,351.585,134.133,1.0,380.647,134.797,1.0,436.592,153.97,1.0,428.189,159.967,1.0,410.543,174.281,1.0
480,340.56,133.086,1.0,352.196,134.325,1.0,380.9,134.689,1.0,436.39,154.785,1.0,427.665,159.967,1.0,410.755,174.517,1.0
481,340.454,133.09,1.0,351.778,132.221,1.0,380.369,134.871,1.0,436.695,155.272,1.0,427.745,160.1,1.0,410.679,174.686,1.0
482,340.719,133.767,1.0,351.708,132.566,1.0,380.111,135.042,1.0,436.431,154.726,1.0,428.137,159.894,1.0,410.729,174.9,1.0
483,340.477,133.681,1.0,352.018,132.221,1.0,380.26,134.855,1.0,435.058,151.89,1.0,427.953,159.802,1.0,410.723,174.932,1.0
484,340.478,133.686,1.0,352.024,132.218,1.0,380.263,134.861,1.0,435.064,151.895,1.0,427.935,159.811,1.0,410.726,174.939,1.0
485,437.998,150.504,1.0,427.674,156.078,1.0,410.21,174.62,1.0,339.922,135.043,1.0,352.638,132.279,1.0,380.036,134.336,1.0
486,340.09,134.685,1.0,351.955,132.736,1.0,379.859,134.06,1.0,438.307,150.666,1.0,427.529,156.134,1.0,410.022,174.439,1.0
487,437.843,151.312,1.0,427.577,157.184,1.0,410.369,174.951,1.0,339.893,135.28,1.0,352.51,132.781,1.0,379.914,133.728,1.0
488,339.931,135.818,1.0,352.014,133.047,1.0,379.847,133.964,1.0,437.438,152.873,1.0,428.08,158.412,1.0,410.307,174.939,1.0
489,340.31,136.619,1.0,351.449,134.039,1.0,380.328,134.085,1.0,436.686,152.004,1.0,428.654,159.352,1.0,410.641,175.117,1.0
490,340.305,136.628,1.0,351.441,134.035,1.0,380.277,134.05,1.0,436.689,152.006,1.0,428.648,159.352,1.0,410.641,175.117,1.0
491,340.343,136.21,1.0,351.309,133.744,1.0,380.366,134.043,1.0,437.163,154.49,1.0,428.714,159.423,1.0,410.661,175.199,1.0
492,436.445,153.727,1.0,428.465,159.152,1.0,410.563,175.119,1.0,342.987,135.918,1.0,351.075,134.163,1.0,379.848,134.064,1.0
493,436.503,154.035,1.0,428.346,159.173,1.0,410.449,174.913,1.0,342.876,135.705,1.0,351.189,134.039,1.0,379.754,133.793,1.0
494,342.919,135.703,1.0,351.741,133.869,1.0,380.271,133.662,1.0,436.765,152.192,1.0,428.724,159.028,1.0,410.391,174.581,1.0
495,340.389,137.051,1.0,351.631,133.712,1.0,380.247,133.777,1.0,436.921,152.829,1.0,429.02,159.269,1.0,410.453,174.884,1.0
496,340.387,137.032,1.0,350.946,135.772,1.0,380.267,133.811,1.0,436.923,152.836,1.0,429.023,159.273,1.0,410.445,174.879,1.0
497,340.91,136.661,1.0,351.857,135.676,1.0,380.501,133.637,1.0,437.652,153.287,1.0,429.236,159.28,1.0,410.248,174.646,1.0
498,340.806,136.473,1.0,351.684,135.27,1.0,380.345,133.83,1.0,437.785,153.271,1.0,429.135,159.484,1.0,410.331,174.842,1.0
499,340.634,135.967,1.0,351.384,135.02,1.0,380.477,134.095,1.0,437.109,152.98,1.0,429.255,159.504,1.0,410.52,174.915,1.0
500,340.414,136.528,1.0,351.319,133.401,1.0,380.353,134.342,1.0,437.029,152.818,1.0,429.455,159.549,1.0,410.604,174.938,1.0
501,339.91,135.938,1.0,351.851,132.695,1.0,380.565,134.24,1.0,436.827,153.9,1.0,429.538,160.067,1.0,410.193,174.432,1.0
502,339.908,135.938,1.0,351.857,132.693,1.0,380.565,134.238,1.0,436.819,153.894,1.0,429.541,160.067,1.0,410.192,174.432,1.0
503,340.007,135.642,1.0,351.622,132.759,1.0,380.566,134.612,1.0,436.371,154.459,1.0,429.251,160.414,1.0,410.215,174.291,1.0
504,339.962,135.869,1.0,351.082,132.999,1.0,380.333,134.689,1.0,436.405,156.018,1.0,428.296,160.13,1.0,410.198,174.379,1.0
505,339.674,135.512,1.0,351.524,132.693,1.0,380.668,134.201,1.0,435.802,155.487,1.0,427.852,159.96,1.0,410.195,174.05,1.0
506,339.886,133.79,1.0,352.82,131.946,1.0,380.747,134.452,1.0,435.785,154.824,1.0,428.097,159.973,1.0,410.2,174.337,1.0
507,340.421,134.859,1.0,352.555,132.283,1.0,380.761,134.515,1.0,434.634,153.682,1.0,427.653,160.195,1.0,410.263,174.481,1.0
508,340.402,134.894,1.0,352.531,132.294,1.0,380.747,134.541,1.0,434.641,153.682,1.0,427.652,160.197,1.0,410.271,174.48,1.0
509,340.103,135.134,1.0,352.081,132.444,1.0,380.844,134.518,1.0,435.527,152.665,1.0,428.247,160.262,1.0,410.312,174.465,1.0
510,340.156,135.76,1.0,351.792,132.752,1.0,380.473,134.598,1.0,438.112,154.588,1.0,428.397,158.257,1.0,410.148,174.481,1.0
511,340.355,136.051,1.0,351.864,132.908,1.0,380.482,134.792,1.0,437.929,154.852,1.0,428.366,158.06,1.0,410.131,174.576,1.0
512,340.524,135.896,1.0,352.023,132.773,1.0,380.515,134.848,1.0,437.023,154.596,1.0,428.215,158.412,1.0,410.281,174.691,1.0
513,340.341,135.786,1.0,351.371,132.985,1.0,380.133,135.093,1.0,435.473,151.832,1.0,428.152,159.045,1.0,410.189,174.699,1.0
514,340.339,135.784,1.0,351.371,132.98,1.0,380.134,135.094,1.0,435.472,151.837,1.0,428.155,159.042,1.0,410.184,174.697,1.0
515,340.266,135.746,1.0,351.525,132.77,1.0,380.362,135.104,1.0,435.122,151.764,1.0,427.807,159.297,1.0,410.322,174.816,1.0
516,340.871,135.68,1.0,352.191,132.567,1.0,380.453,134.924,1.0,435.209,152.143,1.0,427.92,159.475,1.0,410.307,174.651,1.0
517,340.725,135.255,1.0,351.736,132.693,1.0,380.44,135.004,1.0,435.03,152.059,1.0,427.978,159.43,1.0,410.411,174.752,1.0
518,340.458,135.338,1.0,351.139,132.772,1.0,380.449,135.05,1.0,435.382,152.896,1.0,427.849,159.772,1.0,410.369,174.968,1.0
519,340.187,135.13,1.0,352.299,132.415,1.0,380.409,134.831,1.0,435.267,152.771,1.0,427.83,159.689,1.0,410.359,174.972,1.0
520,340.07,135.202,1.0,352.213,132.465,1.0,380.408,134.843,1.0,435.357,152.96,1.0,427.843,159.671,1.0,410.36,174.977,1.0
521,339.833,135.138,1.0,351.176,132.636,1.0,380.173,134.79,1.0,434.931,152.285,1.0,428.154,159.609,1.0,410.234,174.686,1.0
522,340.005,135.392,1.0,350.312,133.063,1.0,379.995,134.851,1.0,435.183,153.998,1.0,427.924,159.543,1.0,410.273,174.843,1.0
523,340.086,134.656,1.0,351.332,132.897,1.0,380.152,134.689,1.0,435.473,154.248,1.0,428.167,159.551,1.0,410.415,174.889,1.0
524,340.272,134.317,1.0,351.455,132.673,1.0,380.167,134.678,1.0,435.558,153.973,1.0,427.902,159.581,1.0,410.736,174.989,1.0
525,339.792,135.135,1.0,351.109,134.918,1.0,380.267,134.957,1.0,435.514,153.398,1.0,428.003,159.415,1.0,410.627,175.001,1.0
526,339.796,135.14,1.0,351.113,134.915,1.0,380.267,134.963,1.0,435.515,153.401,1.0,428.004,159.415,1.0,410.629,175.003,1.0
527,339.753,134.171,1.0,352.189,132.563,1.0,380.141,134.399,1.0,435.17,153.341,1.0,427.843,159.603,1.0,410.781,175.023,1.0
528,339.384,134.352,1.0,352.572,132.465,1.0,380.528,134.548,1.0,435.104,152.083,1.0,427.465,159.013,1.0,410.665,175.021,1.0
529,339.745,134.307,1.0,352.694,132.281,1.0,380.006,134.565,1.0,435.387,152.376,1.0,427.653,158.701,1.0,410.536,174.708,1.0
530,340.225,134.107,1.0,351.944,134.239,1.0,380.708,134.525,1.0,435.715,152.246,1.0,427.186,158.357,1.0,410.488,174.65,1.0
531,340.584,132.964,1.0,351.85,134.426,1.0,380.513,134.596,1.0,435.319,152.251,1.0,427.341,158.502,1.0,410.92,174.388,1.0
532,340.576,133.004,1.0,351.986,134.437,1.0,380.527,134.594,1.0,435.316,152.246,1.0,427.343,158.504,1.0,410.92,174.385,1.0
533,340.565,132.689,1.0,351.638,134.077,1.0,380.545,134.552,1.0,435.96,152.499,1.0,427.179,158.598,1.0,410.752,174.657,1.0
534,340.382,131.641,1.0,351.96,133.6,1.0,380.738,134.712,1.0,435.616,153.001,1.0,427.269,159.021,1.0,410.722,174.698,1.0
535,340.341,131.414,1.0,351.296,132.998,1.0,380.842,134.727,1.0,435.723,153.307,1.0,427.46,159.124,1.0,410.317,174.514,1.0
536,435.69,153.368,1.0,427.622,159.513,1.0,410.846,174.754,1.0,339.806,131.989,1.0,353.423,130.279,1.0,380.09,133.982,1.0
537,339.521,132.165,1.0,350.993,132.69,1.0,380.688,134.113,1.0,435.592,153.62,1.0,427.938,159.44,1.0,410.5,174.584,1.0
538,339.518,132.162,1.0,350.978,132.69,1.0,380.691,134.111,1.0,435.633,153.654,1.0,427.945,159.44,1.0,410.495,174.575,1.0
539,339.438,131.207,1.0,352.758,129.728,1.0,380.521,133.874,1.0,435.244,153.563,1.0,427.86,159.568,1.0,410.67,174.641,1.0
540,435.171,154.222,1.0,428.311,159.581,1.0,410.764,175.008,1.0,338.158,131.697,1.0,352.792,129.725,1.0,380.113,134.201,1.0
541,435.439,154.632,1.0,428.095,159.581,1.0,410.589,174.802,1.0,337.985,132.344,1.0,352.872,130.387,1.0,380.505,134.238,1.0
542,435.819,154.6,1.0,428.146,159.548,1.0,410.367,174.405,1.0,338.345,131.952,1.0,353.12,129.93,1.0,379.977,134.811,1.0
543,435.8,154.632,1.0,428.145,159.555,1.0,410.481,174.43,1.0,338.229,131.787,1.0,353.268,130.057,1.0,379.954,134.587,1.0
544,435.798,154.626,1.0,428.147,159.548,1.0,410.48,174.436,1.0,338.232,131.784,1.0,353.273,130.05,1.0,379.951,134.584,1.0
545,435.448,154.285,1.0,428.049,159.432,1.0,410.436,174.512,1.0,338.664,131.817,1.0,353.59,130.004,1.0,380.113,134.514,1.0
546,435.472,153.632,1.0,427.926,159.12,1.0,410.566,174.515,1.0,338.727,131.72,1.0,353.611,130.212,1.0,379.65,134.747,1.0
547,435.487,153.678,1.0,428.071,159.443,1.0,410.533,174.512,1.0,339.2,131.869,1.0,353.225,130.535,1.0,379.406,134.508,1.0
548,435.801,153.336,1.0,428.136,159.4,1.0,410.532,174.535,1.0,339.569,132.201,1.0,353.367,130.893,1.0,379.267,134.444,1.0
549,339.994,132.112,1.0,353.044,131.303,1.0,379.328,134.355,1.0,435.357,153.446,1.0,428.396,159.757,1.0,410.867,174.89,1.0
550,339.984,132.101,1.0,353.037,131.288,1.0,379.328,134.365,1.0,435.343,153.465,1.0,428.399,159.766,1.0,410.866,174.891,1.0
551,340.14,132.259,1.0,352.973,130.928,1.0,379.687,134.688,1.0,435.549,153.398,1.0,428.238,159.467,1.0,411.019,174.791,1.0
552,340.045,132.173,1.0,352.982,130.96,1.0,379.699,134.581,1.0,435.266,153.763,1.0,428.576,159.93,1.0,411.192,174.679,1.0
553,339.66,133.006,1.0,351.541,133.417,1.0,380.176,134.606,1.0,435.395,154.127,1.0,428.649,159.828,1.0,410.95,174.554,1.0
554,339.991,132.865,1.0,352.852,133.511,1.0,380.347,134.546,1.0,435.56,153.93,1.0,428.467,159.766,1.0,410.618,174.367,1.0
555,340.204,132.751,1.0,352.689,134.235,1.0,380.278,134.5,1.0,435.605,153.949,1.0,428.544,159.594,1.0,410.465,174.25,1.0
556,340.207,132.753,1.0,352.693,134.235,1.0,380.279,134.511,1.0,435.59,153.958,1.0,428.547,159.59,1.0,410.475,174.253,1.0
557,340.186,133.29,1.0,352.885,134.999,1.0,380.123,134.299,1.0,435.535,153.779,1.0,428.374,159.434,1.0,410.557,174.529,1.0
558,340.064,134.561,1.0,352.27,135.931,1.0,380.335,133.941,1.0,435.561,153.83,1.0,428.317,159.485,1.0,410.484,174.522,1.0
559,339.206,135.698,1.0,350.858,133.97,1.0,379.954,133.866,1.0,435.801,153.774,1.0,428.392,159.363,1.0,410.829,174.889,1.0
560,339.279,136.21,1.0,350.713,133.964,1.0,380.122,133.766,1.0,435.932,153.844,1.0,428.258,159.599,1.0,410.659,174.703,1.0
561,339.138,136.514,1.0,350.062,134.401,1.0,379.673,133.789,1.0,436.032,153.606,1.0,428.201,159.516,1.0,410.496,174.717,1.0
562,339.111,136.552,1.0,350.286,134.325,1.0,379.702,133.789,1.0,436.038,153.614,1.0,428.197,159.523,1.0,410.488,174.704,1.0
563,339.273,136.806,1.0,350.108,134.655,1.0,379.568,133.46,1.0,436.082,153.317,1.0,428.092,159.417,1.0,410.397,174.598,1.0
564,436.092,153.656,1.0,428.017,159.183,1.0,410.197,174.33,1.0,342.418,135.548,1.0,349.759,135.283,1.0,379.664,133.485,1.0
565,435.889,153.798,1.0,427.955,159.314,1.0,410.057,174.443,1.0,342.313,135.54,1.0,350.254,135.029,1.0,379.631,133.367,1.0
566,436.308,153.988,1.0,428.197,159.463,1.0,409.942,174.514,1.0,342.162,135.716,1.0,350.497,134.533,1.0,379.929,133.42,1.0
567,342.314,135.992,1.0,351.57,134.063,1.0,379.755,133.759,1.0,435.796,153.719,1.0,428.308,159.678,1.0,410.358,174.576,1.0
568,342.315,135.992,1.0,351.571,134.06,1.0,379.751,133.763,1.0,435.793,153.718,1.0,428.311,159.676,1.0,410.36,174.574,1.0
569,342.228,136.252,1.0,352.188,133.796,1.0,380.034,133.761,1.0,435.416,151.927,1.0,427.913,159.904,1.0,410.373,174.561,1.0
570,341.806,136.043,1.0,352.03,133.64,1.0,379.985,133.948,1.0,435.498,151.954,1.0,427.85,159.981,1.0,410.463,174.756,1.0
571,341.068,135.241,1.0,352.055,133.247,1.0,379.956,134.084,1.0,435.471,152.327,1.0,428.182,160.113,1.0,410.421,174.716,1.0
572,341.093,135.273,1.0,351.942,133.081,1.0,379.684,134.293,1.0,435.826,152.128,1.0,428.111,160.121,1.0,410.496,174.808,1.0
573,435.654,152.132,1.0,428.121,160.209,1.0,410.506,174.702,1.0,338.598,136.651,1.0,352.483,132.72,1.0,379.953,134.311,1.0
574,435.654,152.132,1.0,428.12,160.212,1.0,410.51,174.705,1.0,338.601,136.648,1.0,352.484,132.714,1.0,379.953,134.31,1.0
575,339.483,136.22,1.0,351.664,135.725,1.0,380.219,134.01,1.0,435.462,152.061,1.0,428.097,159.744,1.0,410.525,175.043,1.0
576,339.413,136.25,1.0,351.864,135.778,1.0,380.442,134.158,1.0,436.397,152.171,1.0,428.307,159.493,1.0,410.541,175.098,1.0
577,339.423,136.3,1.0,351.025,133.431,1.0,379.8,134.149,1.0,436.41,152.163,1.0,428.488,159.488,1.0,410.671,175.231,1.0
578,339.393,135.618,1.0,351.429,133.117,1.0,379.651,134.0,1.0,435.682,151.957,1.0,428.399,159.974,1.0,410.619,175.192,1.0
579,339.514,135.308,1.0,352.316,132.581,1.0,379.472,134.091,1.0,435.337,154.415,1.0,428.075,159.431,1.0,410.669,175.139,1.0
580,339.489,135.276,1.0,352.223,132.612,1.0,379.437,134.12,1.0,435.33,154.412,1.0,428.072,159.431,1.0,410.676,175.142,1.0
581,435.323,154.588,1.0,428.169,160.064,1.0,410.651,175.297,1.0,339.198,135.843,1.0,352.608,132.429,1.0,379.495,134.229,1.0
582,339.18,136.559,1.0,351.249,134.913,1.0,379.47,134.001,1.0,435.329,153.378,1.0,428.083,159.78,1.0,410.78,175.132,1.0
583,339.208,136.573,1.0,351.465,134.907,1.0,379.589,133.976,1.0,435.488,153.539,1.0,428.015,159.867,1.0,410.885,175.152,1.0
584,339.239,136.491,1.0,352.104,135.153,1.0,379.801,134.288,1.0,435.822,154.046,1.0,428.273,160.066,1.0,410.662,175.067,1.0
585,339.498,135.537,1.0,351.253,135.061,1.0,379.818,134.493,1.0,435.657,154.277,1.0,428.167,159.72,1.0,410.748,174.924,1.0
586,339.484,135.528,1.0,351.256,135.057,1.0,379.823,134.496,1.0,435.651,154.273,1.0,428.161,159.727,1.0,410.745,174.922,1.0
587,435.256,154.055,1.0,428.405,159.682,1.0,410.643,175.008,1.0,339.37,135.427,1.0,352.932,132.569,1.0,379.827,134.536,1.0
588,339.459,135.391,1.0,351.351,134.778,1.0,379.892,134.571,1.0,435.018,152.31,1.0,428.458,159.976,1.0,410.404,174.932,1.0
589,434.962,152.123,1.0,428.4,159.975,1.0,410.233,174.818,1.0,340.038,135.911,1.0,352.928,135.001,1.0,380.212,134.251,1.0
590,435.551,152.164,1.0,428.656,160.172,1.0,410.328,174.739,1.0,339.511,136.329,1.0,352.735,135.003,1.0,380.297,134.306,1.0
591,339.734,135.9,1.0,351.795,134.911,1.0,380.357,134.238,1.0,436.249,152.064,1.0,428.652,159.763,1.0,410.453,174.632,1.0
592,339.737,135.918,1.0,351.797,134.909,1.0,380.356,134.241,1.0,436.25,152.061,1.0,428.651,159.762,1.0,410.451,174.634,1.0
593,339.511,135.166,1.0,351.802,134.93,1.0,380.384,134.189,1.0,436.698,152.318,1.0,428.554,159.925,1.0,410.35,174.831,1.0
594,339.318,135.228,1.0,351.594,134.86,1.0,379.818,134.527,1.0,437.212,152.804,1.0,428.695,159.504,1.0,410.469,175.019,1.0
595,339.434,135.183,1.0,351.385,135.057,1.0,379.663,134.678,1.0,437.178,152.816,1.0,428.728,159.373,1.0,410.44,174.833,1.0
596,339.695,135.507,1.0,351.367,132.964,1.0,379.367,134.522,1.0,436.828,153.11,1.0,428.881,159.632,1.0,410.305,175.11,1.0
597,339.488,136.056,1.0,351.093,133.206,1.0,379.541,134.192,1.0,436.815,153.319,1.0,428.869,159.142,1.0,410.064,174.914,1.0
598,339.492,136.039,1.0,351.08,133.204,1.0,379.554,134.184,1.0,436.812,153.322,1.0,428.869,159.147,1.0,410.063,174.907,1.0
599,339.174,136.004,1.0,350.469,133.017,1.0,379.138,134.159,1.0,436.04,152.469,1.0,428.671,159.778,1.0,410.213,174.886,1.0
600,339.261,135.845,1.0,350.866,132.79,1.0,378.584,134.026,1.0,435.36,153.409,1.0,428.193,159.467,1.0,410.465,174.694,1.0
601,339.057,135.779,1.0,350.635,132.714,1.0,378.574,134.187,1.0,435.104,152.446,1.0,428.085,158.964,1.0,410.454,174.93,1.0
602,338.825,135.777,1.0,350.442,132.67,1.0,378.589,134.095,1.0,434.667,152.526,1.0,427.34,158.879,1.0,410.411,174.887,1.0
603,338.798,134.872,1.0,351.386,132.445,1.0,378.969,134.022,1.0,434.986,151.843,1.0,427.16,158.093,1.0,410.278,174.665,1.0
604,338.791,134.868,1.0,351.377,132.457,1.0,378.975,134.025,1.0,434.984,151.855,1.0,427.16,158.09,1.0,410.288,174.673,1.0
605,434.677,151.611,1.0,426.915,158.008,1.0,410.385,174.768,1.0,338.407,135.132,1.0,351.507,132.607,1.0,379.105,134.138,1.0
606,338.769,135.07,1.0,351.002,132.728,1.0,378.854,133.947,1.0,434.687,151.085,1.0,426.613,158.289,1.0,410.549,174.892,1.0
607,339.028,134.619,1.0,351.602,132.799,1.0,378.863,134.102,1.0,434.107,151.845,1.0,426.569,159.046,1.0,410.648,174.86,1.0
608,339.281,134.609,1.0,351.546,132.802,1.0,378.632,134.038,1.0,433.427,152.431,1.0,426.205,159.034,1.0,410.692,174.764,1.0
609,338.815,134.644,1.0,351.138,133.023,1.0,378.38,134.211,1.0,432.477,152.501,1.0,426.065,159.377,1.0,410.792,174.741,1.0
610,338.823,134.653,1.0,351.177,133.022,1.0,378.392,134.203,1.0,432.467,152.511,1.0,426.075,159.406,1.0,410.784,174.738,1.0
611,338.852,134.378,1.0,351.289,133.059,1.0,378.553,134.254,1.0,430.157,152.866,1.0,425.575,159.777,1.0,410.532,174.685,1.0
612,338.773,134.381,1.0,351.905,132.879,1.0,378.903,134.336,1.0,428.922,150.874,1.0,424.33,159.084,1.0,410.307,174.204,1.0
613,338.792,134.874,1.0,351.562,132.987,1.0,379.073,134.326,1.0,427.7,149.867,1.0,423.87,159.158,1.0,410.223,174.278,1.0
614,339.038,134.866,1.0,350.774,133.547,1.0,379.065,134.232,1.0,427.483,149.863,1.0,423.776,159.774,1.0,410.321,174.521,1.0
615,339.256,135.172,1.0,350.551,133.604,1.0,379.379,134.115,1.0,427.722,150.014,1.0,423.662,159.624,1.0,410.27,174.396,1.0
616,339.259,135.182,1.0,350.556,133.615,1.0,379.379,134.114,1.0,427.732,150.021,1.0,423.658,159.62,1.0,410.258,174.387,1.0
617,341.783,135.719,1.0,350.603,134.122,1.0,379.516,133.648,1.0,428.135,151.727,1.0,424.126,160.095,1.0,410.37,174.468,1.0
618,341.838,135.387,1.0,351.299,133.729,1.0,379.876,133.828,1.0,427.754,152.445,1.0,423.007,160.55,1.0,410.488,174.554,1.0
619,342.119,135.432,1.0,350.532,134.416,1.0,379.996,133.725,1.0,426.74,151.204,1.0,428.864,157.57,1.0,410.501,174.575,1.0
